STRAIN	chrI	chrII	chrIII	chrIV	chrV	chrVI	chrVII	chrVIII	chrIX	chrX	chrXI	chrXII	chrXIII	chrXIV	chrXV	chrXVI
P1-11C	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-11D	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-11E	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-11F	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-11G	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-12H	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-1A	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2
P1-1D	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-1E	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-1F	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-1G	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-1H	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2
P1-2D	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-2F	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-2H	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-3A	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-3B	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-3C	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-3D	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2
P1-3F	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-3H	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-4A	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-4B	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-4C	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-4D	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-4F	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-4G	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-4H	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-5A	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-5B	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-5C	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-5D	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-5G	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-5H	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-6A	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-6C	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-6D	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-6F	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-6G	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-6H	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-7A	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-7B	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-7C	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-7D	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-7E	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-7F	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-7G	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-7H	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-8A	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-8B	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-8C	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-8D	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-8E	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-8F	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-8G	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-8H	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-9A	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-9B	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-9C	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-9D	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-9E	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-9F	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2
P1-9G	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-9H	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2
P2-10A	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P2-10D	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P2-10G	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P2-10H	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P2-11C	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P2-11E	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P2-11F	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P2-11H	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P2-1A	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P2-1B	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P2-1D	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P2-1F	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P2-1G	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P2-2A	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2
P2-2C	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P2-2D	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P2-2H	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P2-3C	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P2-3D	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P2-3E	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P2-3G	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P2-4A	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P2-4D	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P2-4E	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P2-4G	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P2-4H	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P2-5B	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P2-5G	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P2-5H	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P2-6A	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P2-6B	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2
P2-6D	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P2-6E	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P2-6F	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P2-6G	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P2-6H	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2
P2-7B	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P2-7C	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P2-7D	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P2-7E	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P2-7F	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P2-7G	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P2-7H	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P2-8A	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P2-8B	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P2-8C	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P2-8D	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2
P2-8E	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P2-8G	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P2-8H	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P2-9C	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2
P2-9D	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2
P2-9E	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P2-9F	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P2-9G	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P2-9H	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P3-1A	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P3-1B	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P3-1C	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P3-1D	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2
P3-1F	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P3-1G	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P3-1H	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P3-2A	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P3-2C	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P3-2D	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P3-2F	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2
P3-2G	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P3-2H	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2
P3-3A	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P3-3B	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P3-3C	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P3-3D	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P3-3F	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P3-3G	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P3-3H	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P3-4A	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P3-4D	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P3-4E	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P3-4F	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3
P3-4G	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P3-4H	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P3-5A	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P3-5B	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P3-5C	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P3-5D	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P3-5E	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P3-5F	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P3-5G	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P3-6A	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P3-6B	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P3-6C	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P3-6D	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2
P3-6E	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P3-6F	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2
P3-6G	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P3-6H	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P3-7A	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P3-7B	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P3-7C	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P3-7F	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2
P3-7G	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P3-7H	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P3-8A	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P3-8B	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P3-8C	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P3-8D	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P3-8E	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P3-8F	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P3-8H	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
